from,to, exports ,exports.log
2,53,13,1.113943352
2,26,756,2.878521796
2,27,"9,091",3.958611658
2,28,242,2.383815366
2,44,510,2.707570176
2,58,7,0.84509804
2,29,"1,093",3.038620162
2,30,150,2.176091259
2,49,13,1.113943352
2,31,"35,574",4.551132701
2,32,"2,872",3.458184436
2,59,19,1.278753601
2,51,290,2.462397998
2,45,316,2.499687083
2,33,"6,248",3.795741021
2,34,"1,812",3.258158193
2,35,"1,309",3.116939647
2,36,"3,525",3.547159121
2,60,"1,680",3.225309282
2,50,133,2.123851641
2,37,954,2.979548375
2,38,468,2.670245853
2,39,"7,734",3.888404168
2,41,871,2.940018155
2,46,901,2.954724791
2,40,"4,143",3.617314933
2,42,"24,144",4.382809222
2,47,569,2.755112266
3,0,38,1.579783597
3,1,701,2.845718018
3,43,9,0.954242509
3,2,"1,709",3.232742063
3,4,31,1.491361694
3,54,2,0.301029996
3,55,1,0
3,57,1,0
3,5,88,1.944482672
3,6,236,2.372912003
3,7,854,2.931457871
3,8,90,1.954242509
3,9,461,2.663700925
3,10,"2,913",3.464340485
3,11,185,2.267171728
3,12,537,2.729974286
3,13,25,1.397940009
3,52,0,#NUM!
3,14,138,2.139879086
3,15,"1,126",3.051538391
3,16,737,2.867467488
3,17,"1,131",3.053462605
3,61,32,1.505149978
3,18,113,2.053078443
3,19,383,2.583198774
3,20,41,1.612783857
3,21,61,1.785329835
3,22,99,1.995635195
3,23,"2,281",3.358125285
3,24,61,1.785329835
3,48,48,1.681241237
3,56,12,1.079181246
3,25,120,2.079181246
3,53,0,#NUM!
3,26,56,1.748188027
3,27,37,1.568201724
3,28,38,1.579783597
3,44,29,1.462397998
3,58,4,0.602059991
3,29,47,1.672097858
3,30,33,1.51851394
3,49,7,0.84509804
3,31,492,2.691965103
3,32,71,1.851258349
3,59,1,0
3,51,19,1.278753601
3,45,62,1.792391689
3,33,615,2.788875116
3,34,122,2.086359831
3,35,"2,011",3.303412071
3,36,544,2.7355989
3,60,225,2.352182518
3,50,9,0.954242509
3,37,227,2.356025857
3,38,191,2.281033367
3,39,224,2.350248018
3,41,27,1.431363764
3,46,80,1.903089987
3,40,"2,703",3.431846046
3,42,643,2.808210973
3,47,41,1.612783857
4,0,912,2.959994838
4,1,216,2.334453751
4,43,691,2.839478047
4,2,"2,635",3.42078062
4,3,134,2.127104798
4,54,2,0.301029996
4,55,1,0
4,57,11,1.041392685
4,5,"2,736",3.437116093
4,6,465,2.667452953
4,7,"30,618",4.485976819
4,8,40,1.602059991
4,9,132,2.120573931
4,10,"5,714",3.756940236
4,11,725,2.860338007
4,12,"2,656",3.424228071
4,13,36,1.556302501
4,52,1,0
4,14,395,2.596597096
4,15,"4,011",3.603252662
4,16,"3,888",3.589726256
4,17,123,2.089905111
4,61,"2,410",3.382017043
4,18,57,1.755874856
4,19,148,2.170261715
4,20,"3,001",3.477265995
4,21,"5,336",3.727215821
4,22,"1,031",3.013258665
4,23,"2,848",3.454539985
4,24,"6,922",3.840231595
4,48,281,2.44870632
4,56,2,0.301029996
4,25,"3,451",3.537944959
4,53,5,0.698970004
4,26,40,1.602059991
4,27,23,1.361727836
4,28,26,1.414973348
4,44,897,2.952792443
4,58,8,0.903089987
4,29,"4,388",3.642266619
4,30,20,1.301029996
4,49,6,0.77815125
4,31,"7,286",3.862489167
4,32,"1,575",3.197280558
4,59,27,1.431363764
4,51,191,2.281033367
4,45,227,2.356025857
4,33,570,2.755874856
4,34,882,2.945468585
4,35,316,2.499687083
4,36,"2,579",3.411451342
4,60,"2,748",3.439016728
4,50,86,1.934498451
4,37,52,1.716003344
4,38,296,2.471291711
4,39,528,2.722633923
4,41,"1,974",3.295347148
4,46,"1,214",3.084218687
4,40,"1,319",3.120244796
4,42,"24,116",4.382305275
4,47,"1,527",3.183839037
54,0,440,2.643452676
54,1,0,#NUM!
54,43,1,0
54,2,0,#NUM!
54,3,0,#NUM!
54,4,1,0
54,55,1,0
54,57,1,0
54,5,131,2.117271296
54,6,2,0.301029996
54,7,58,1.763427994
54,8,0,#NUM!
54,9,1,0
54,10,2,0.301029996
54,11,1,0
54,12,1,0
54,13,1,0
54,52,0,#NUM!
54,14,1,0
54,15,1,0
54,16,11,1.041392685
54,17,0,#NUM!
54,61,4,0.602059991
54,18,0,#NUM!
54,19,0,#NUM!
54,20,320,2.505149978
54,21,527,2.721810615
54,22,0,#NUM!
54,23,129,2.11058971
54,24,"2,031",3.307709923
54,48,12,1.079181246
54,56,1,0
54,25,606,2.782472624
54,53,0,#NUM!
54,26,1,0
54,27,0,#NUM!
54,28,1,0
54,44,48,1.681241237
54,58,13,1.113943352
54,29,1,0
54,30,0,#NUM!
54,49,1,0
54,31,3,0.477121255
54,32,2,0.301029996
54,59,1,0
54,51,4,0.602059991
54,45,53,1.72427587
54,33,1,0
54,34,0,#NUM!
54,35,1,0
54,36,2,0.301029996
54,60,8,0.903089987
54,50,1,0
54,37,1,0
54,38,0,#NUM!
54,39,1,0
54,41,306,2.485721426
54,46,398,2.599883072
54,40,1,0
54,42,20,1.301029996
54,47,32,1.505149978
55,0,10,1
55,1,1,0
55,43,1,0
55,2,2,0.301029996
55,3,1,0
55,4,2,0.301029996
55,54,4,0.602059991
55,57,2,0.301029996
55,5,2,0.301029996
55,6,1,0
55,7,8,0.903089987
55,8,1,0
55,9,2,0.301029996
55,10,2,0.301029996
55,11,3,0.477121255
55,12,2,0.301029996
55,13,2,0.301029996
55,52,0,#NUM!
55,14,2,0.301029996
55,15,2,0.301029996
55,16,15,1.176091259
55,17,1,0
55,61,0,#NUM!
55,18,1,0
55,19,2,0.301029996
55,20,3,0.477121255
55,21,243,2.385606274
55,22,2,0.301029996
55,23,3,0.477121255
55,24,13,1.113943352
55,48,19,1.278753601
55,56,1,0
55,25,4,0.602059991
55,53,0,#NUM!
55,26,2,0.301029996
55,27,1,0
55,28,2,0.301029996
55,44,8,0.903089987
55,58,5,0.698970004
55,29,3,0.477121255
55,30,2,0.301029996
55,49,1,0
55,31,2,0.301029996
55,32,2,0.301029996
55,59,8,0.903089987
55,51,5,0.698970004
55,45,9,0.954242509
55,33,3,0.477121255
55,34,1,0
55,35,2,0.301029996
55,36,3,0.477121255
55,60,1,0
55,50,1,0
55,37,2,0.301029996
55,38,2,0.301029996
55,39,2,0.301029996
55,41,4,0.602059991
55,46,40,1.602059991
55,40,2,0.301029996
55,42,12,1.079181246
55,47,2,0.301029996
57,0,46,1.662757832
57,1,24,1.380211242
57,43,1,0
57,2,167,2.222716471
57,3,10,1
57,4,20,1.301029996
57,54,4,0.602059991
57,55,1,0
57,5,396,2.597695186
57,6,48,1.681241237
57,7,380,2.579783597
57,8,1,0
57,9,25,1.397940009
57,10,643,2.808210973
57,11,30,1.477121255
57,12,176,2.245512668
57,13,3,0.477121255
57,52,0,#NUM!
57,14,7,0.84509804
57,15,193,2.285557309
57,16,"1,008",3.003460532
57,17,7,0.84509804
57,61,12,1.079181246
57,18,3,0.477121255
57,19,3,0.477121255
57,20,23,1.361727836
57,21,21,1.322219295
57,22,116,2.064457989
57,23,117,2.068185862
57,24,445,2.648360011
57,48,25,1.397940009
57,56,1,0
57,25,264,2.421603927
57,53,2,0.301029996
57,26,4,0.602059991
57,27,4,0.602059991
57,28,4,0.602059991
57,44,87,1.939519253
57,58,3,0.477121255
57,29,30,1.477121255
57,30,2,0.301029996
57,49,1,0
57,31,191,2.281033367
57,32,81,1.908485019
57,59,0,#NUM!
57,51,5,0.698970004
57,45,44,1.643452676
57,33,89,1.949390007
57,34,5,0.698970004
57,35,5,0.698970004
57,36,37,1.568201724
57,60,52,1.716003344
57,50,1,0
57,37,9,0.954242509
57,38,3,0.477121255
57,39,34,1.531478917
57,41,43,1.633468456
57,46,316,2.499687083
57,40,29,1.462397998
57,42,"1,301",3.114277297
57,47,564,2.751279104
5,0,"2,457",3.390405156
5,1,437,2.640481437
5,43,393,2.59439255
5,2,"2,275",3.356981401
5,3,134,2.127104798
5,4,"1,674",3.223755454
5,54,42,1.62324929
5,55,2,0.301029996
5,57,15,1.176091259
5,6,"1,154",3.062205809
5,7,"15,584",4.19267894
5,8,69,1.838849091
5,9,189,2.276461804
5,10,"3,692",3.567261692
5,11,438,2.641474111
5,12,"1,190",3.075546961
5,13,38,1.579783597
5,52,13,1.113943352
5,14,636,2.803457116
5,15,"6,542",3.81571054
5,16,"11,848",4.073645046
5,17,151,2.178976947
5,61,"2,011",3.303412071
5,18,47,1.672097858
5,19,196,2.292256071
5,20,"1,190",3.075546961
5,21,"2,444",3.388101202
5,22,"1,359",3.133219457
5,23,"2,692",3.430075056
5,24,"12,484",4.09635376
5,48,"2,471",3.392872745
5,56,26,1.414973348
5,25,"4,400",3.643452676
5,53,10,1
5,26,50,1.698970004
5,27,282,2.450249108
5,28,31,1.491361694
5,44,556,2.745074792
5,58,28,1.447158031
5,29,"7,923",3.898889656
5,30,290,2.462397998
5,49,29,1.462397998
5,31,"1,959",3.292034436
5,32,"2,330",3.367355921
5,59,35,1.544068044
5,51,319,2.503790683
5,45,378,2.5774918
5,33,475,2.67669361
5,34,180,2.255272505
5,35,281,2.44870632
5,36,"1,192",3.076276255
5,60,"2,080",3.318063335
5,50,275,2.439332694
5,37,160,2.204119983
5,38,44,1.643452676
5,39,"1,034",3.014520539
5,41,"1,941",3.288025535
5,46,663,2.821513528
5,40,841,2.924795996
5,42,"320,013",5.505167621
5,47,339,2.530199698
6,0,"2,988",3.475380593
6,1,"5,098",3.707399831
6,43,191,2.281033367
6,2,"7,988",3.902438056
6,3,274,2.437750563
6,4,"2,290",3.359835482
6,54,12,1.079181246
6,55,8,0.903089987
6,57,24,1.380211242
6,5,"5,605",3.748575617
6,7,"10,141",4.006080783
6,8,214,2.330413773
6,9,"1,498",3.175511813
6,10,"45,683",4.659754616
6,11,"1,911",3.281260687
6,12,"6,903",3.839037873
6,13,140,2.146128036
6,52,16,1.204119983
6,14,"1,263",3.101403351
6,15,"18,918",4.276875221
6,16,"11,188",4.048752458
6,17,880,2.944482672
6,61,"1,382",3.140508043
6,18,252,2.401400541
6,19,980,2.991226076
6,20,587,2.768638101
6,21,"2,695",3.43055877
6,22,"2,522",3.401745082
6,23,"14,663",4.166222835
6,24,"6,853",3.835880732
6,48,160,2.204119983
6,56,27,1.431363764
6,25,"3,257",3.512817759
6,53,11,1.041392685
6,26,135,2.130333768
6,27,"6,271",3.797336801
6,28,215,2.33243846
6,44,"1,326",3.122543524
6,58,11,1.041392685
6,29,"1,621",3.209783015
6,30,73,1.86332286
6,49,13,1.113943352
6,31,"11,881",4.074852996
6,32,"1,719",3.235275877
6,59,130,2.113943352
6,51,436,2.639486489
6,45,466,2.668385917
6,33,"2,759",3.4407517
6,34,916,2.961895474
6,35,875,2.942008053
6,36,"4,746",3.676327734
6,60,"3,277",3.515476441
6,50,129,2.11058971
